id,fuente,fecha,lat,lon,zona,puntaje,nivel,razones,barco,mmsi,estado,registrado_en,ciclo_ingreso
INC-5291866B,SAR,2025-10-13,-33.46,-71.95999908447266,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (34.2 km): +15 | opera en grupo (12 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-E8B9616B,SAR,2025-10-13,-33.49,-72.0,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (36.6 km): +15 | opera en grupo (12 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-EC697C09,SAR,2025-10-08,-33.54,-72.08000183105469,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (42.9 km): +15 | opera en grupo (10 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-726DBEF5,SAR,2025-10-06,-32.01,-71.94999694824219,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (93.3 km): +15 | opera en grupo (6 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-E302BCB7,SAR,2025-10-06,-33.36,-71.91999816894531,ZEE_interior,80,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (37.1 km): +15 | opera en grupo (6 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-0076CD63,SAR,2025-10-01,-33.67,-72.06999969482422,ZEE_interior,70,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (42.9 km): +15",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-B08A99AA,SAR,2024-10-18,-33.39,-71.87999725341797,ZEE_interior,70,ALTO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | lejos de puerto (32.1 km): +15",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-6CDF81FF,SAR,2025-10-30,-33.46,-71.86000061035156,ZEE_interior,65,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | opera en grupo (7 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-FFAEC0A6,SAR,2025-10-20,-33.63,-71.93000030517578,ZEE_interior,65,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | opera en grupo (19 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-3143CDE9,SAR,2025-10-20,-33.22,-71.83999633789062,ZEE_interior,65,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | opera en grupo (19 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-7ECEB54B,SAR,2025-10-18,-32.55,-71.70999908447266,ZEE_interior,65,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | opera en grupo (8 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-9A26892A,SAR,2025-10-13,-33.52,-71.7300033569336,ZEE_interior,65,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | opera en grupo (12 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-2770EAF6,SAR,2025-10-08,-32.94,-71.7300033569336,ZEE_interior,65,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | opera en grupo (10 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-0C09FCEE,SAR,2025-10-08,-33.02,-71.80999755859375,ZEE_interior,65,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | opera en grupo (10 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-F441EDBF,SAR,2025-10-08,-33.44,-71.83000183105469,ZEE_interior,65,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | opera en grupo (10 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-759D170C,SAR,2025-10-06,-33.73,-71.87999725341797,ZEE_interior,65,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25 | opera en grupo (6 oscuros ese día): +10",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-03722637,SAR,2025-10-25,-33.56,-71.83000183105469,ZEE_interior,55,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-B495B1D1,SAR,2024-10-30,-33.67,-71.79000091552734,ZEE_interior,55,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-8B600200,SAR,2024-10-30,-33.67,-71.81999969482422,ZEE_interior,55,MEDIO,"sin señal AIS (radar sí lo detecta): +30 | en ZEE interior, fuera de franja costera: +25",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-1C446835,SAR,2025-10-30,-32.49,-71.6500015258789,dentro_5_millas,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | lejos de puerto (33.1 km): +15 | opera en grupo (7 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-B70CBD4F,SAR,2025-10-30,-32.75,-71.61000061035156,dentro_5_millas,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (7 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-49318B94,SAR,2025-10-30,-32.95,-71.58000183105469,dentro_5_millas,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (7 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-87A9F7CD,SAR,2025-10-20,-32.76,-71.51000213623047,dentro_5_millas,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (19 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-6E8371E8,SAR,2025-10-20,-33.0,-71.58999633789062,dentro_5_millas,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | presencia repetida en la misma celda (2 fechas): +15 | opera en grupo (19 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-77208873,SAR,2025-10-20,-33.01,-71.58000183105469,dentro_5_millas,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (19 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-4672CF5B,SAR,2025-10-20,-32.48,-71.58000183105469,dentro_5_millas,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | lejos de puerto (32.6 km): +15 | opera en grupo (19 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-AC01BD14,SAR,2025-10-20,-32.9,-71.63999938964844,dentro_5_millas,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (19 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-ECEFF91A,SAR,2025-10-20,-32.73,-71.66000366210938,dentro_5_millas,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (19 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
INC-B63E41D2,SAR,2025-10-20,-32.75,-71.69000244140625,dentro_5_millas,44,VERIFICAR,"sin señal AIS (radar sí lo detecta): +30 | dentro de 5 millas (posible artesanal sin AIS): +10 | opera en grupo (19 oscuros ese día): +10 | tope de contención: costero sin eslora confirmada → se limita a VERIFICAR, no se acusa",,,Registrada,2026-08-13 18:18:05,2026-08-13T18:18:05
